     0.806     0.625     0.981     1.484     2.279     0.982    -1.043     1.343    -0.897     1.512     0.593     0.695     0.754     0.596     0.699     0.756     0.996     0.000     0.004     0.000     0.001     1.000     1.212     33
     0.806     0.625     0.981     1.484     2.279     0.014    -0.034     1.343     0.094     0.474     0.594     0.696     0.754     0.596     0.699     0.756     0.996     0.000     0.003     0.000     0.001     1.000     1.327     34
    -0.188    -0.344     0.981     1.484    -1.346    -0.954     0.976     0.337     0.094     0.474    -0.052    -0.168     0.296    -0.092    -0.247     0.307     0.054     0.000     0.904     0.004     0.038     3.000     1.438     35
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     0.094     1.512     0.595     0.698     0.756     0.596     0.699     0.756     0.999     0.000     0.001     0.000     0.000     1.000     0.966     36
     0.806     0.625    -0.052     1.484     2.279     0.014     0.976     1.343     0.094     1.512     0.594     0.698     0.756     0.596     0.699     0.756     0.997     0.001     0.002     0.000     0.000     1.000     1.212     37
     0.806     0.625     0.981     0.475     2.279     0.982    -0.034         *     0.094     0.474     0.567     0.674     0.723     0.596     0.699     0.756     0.956     0.002     0.025     0.000     0.018     1.000     1.475     38
    -1.181    -1.314     0.981    -0.533    -0.138     0.014    -0.034     1.343    -0.897    -1.601    -0.173    -0.679    -0.231    -0.242    -1.045    -0.672     0.000     0.000     0.449     0.546     0.004     4.000     0.733     39
     0.806     0.625     0.981     1.484     2.279     0.014     0.976     0.337     1.085     1.512     0.595     0.698     0.756     0.596     0.699     0.756     0.999     0.000     0.001     0.000     0.000     1.000     1.356     41
     0.806     0.625     0.981     0.475     2.279     0.982    -0.034     1.343     0.094    -0.563     0.579     0.678     0.744     0.596     0.699     0.756     0.975     0.001     0.022     0.000     0.003     1.000     1.250     42
     0.806     0.625     0.981     1.484    -0.138     0.982    -0.034     0.337     0.094     0.474     0.538     0.631     0.704     0.596     0.699     0.756     0.912     0.001     0.069     0.000     0.017     1.000     0.616     43
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.594     0.699     0.758     0.596     0.699     0.756     0.997     0.003     0.000     0.000     0.000     1.000     1.313     44
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.594     0.699     0.758     0.596     0.699     0.756     0.997     0.003     0.000     0.000     0.000     1.000     2.240     45
     0.806    -0.344    -0.052    -0.533    -0.138     0.014     0.976     0.337     1.085     1.512    -0.034    -0.012     0.462    -0.092    -0.247     0.307     0.098     0.118     0.781     0.000     0.002     3.000     1.135     46
    -0.188     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     0.474     0.593     0.694     0.754     0.596     0.699     0.756     0.995     0.000     0.005     0.000     0.000     1.000     0.958     47
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     1.512     0.595     0.699     0.757     0.596     0.699     0.756     0.998     0.001     0.000     0.000     0.000     1.000     1.711     48
     0.806     0.625     0.981    -0.533    -0.138     0.014    -0.034     0.337     0.094     1.512     0.028     0.018     0.308    -0.092    -0.247     0.307     0.160     0.020     0.711     0.000     0.110     3.000     0.870     49
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     0.474     0.595     0.698     0.756     0.596     0.699     0.756     0.999     0.001     0.001     0.000     0.000     1.000     2.046     50
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085     1.512     0.595     0.698     0.756     0.596     0.699     0.756     0.999     0.001     0.001     0.000     0.000     1.000     1.290     51
     0.806     1.595    -0.052    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601     0.009     0.556    -0.507     0.012     0.574    -0.506     0.000     0.000     0.000     0.011     0.989     5.000     0.763     52
     1.799     1.595    -2.117    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601     0.012     0.572    -0.506     0.012     0.574    -0.506     0.000     0.000     0.000     0.001     0.999     5.000     1.135     53
     0.806    -0.344     0.981     1.484     2.279     0.982    -0.034     0.337     1.085     0.474     0.590     0.690     0.752     0.596     0.699     0.756     0.991     0.000     0.009     0.000     0.000     1.000     1.212     54
