     0.806     1.595    -0.052    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.281     0.576    -0.611    -0.281     0.578    -0.611     0.000     0.000     0.999     0.001     0.000     0.000     3.000     0.763     52
     1.799     1.595    -2.117    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.281     0.578    -0.611    -0.281     0.578    -0.611     0.000     0.000     1.000     0.000     0.000     0.000     3.000     1.135     53
     0.806    -0.344     0.981     1.484     2.279     0.982    -0.034     0.337     1.085     0.474     0.586     0.617     0.810     0.592     0.634     0.874     0.943     0.055     0.000     0.000     0.000     0.002     1.000     1.212     54
     0.806     0.625    -0.052     1.484     1.071     0.982    -0.034     1.343     0.094     1.512     0.591     0.633     0.872     0.592     0.634     0.874     0.997     0.002     0.000     0.000     0.000     0.001     1.000     1.290     55
    -0.188     0.625    -0.052     0.475     1.071     0.982     0.976     0.337     1.085     0.474     0.303     0.350     0.663     0.592     0.634     0.874     0.608     0.011     0.000     0.000     0.013     0.368     1.000     1.212     56
    -0.188    -0.344    -0.052     0.475    -0.138    -0.954    -0.034    -0.669     0.094    -0.563     0.132    -0.039    -0.357     0.494     0.348    -0.278     0.000     0.511     0.124     0.265     0.000     0.099     2.000     0.853     57
     0.806     0.625    -0.052     1.484    -0.138     0.014    -0.034     0.337     0.094    -0.563     0.491     0.358    -0.212     0.494     0.348    -0.278     0.052     0.936     0.001     0.000     0.000     0.011     2.000     1.253     58
    -0.188     0.625     0.981     0.475     1.071     0.014    -0.034    -1.676     0.094    -0.563     0.435     0.341    -0.297     0.494     0.348    -0.278     0.000     0.923     0.058     0.012     0.000     0.007     2.000     0.616     59
     0.806     0.625    -0.052     0.475    -0.138    -1.922    -2.053    -1.676    -1.888    -1.601    -0.263     0.548    -0.603    -0.281     0.578    -0.611     0.000     0.023     0.961     0.015     0.000     0.000     3.000     1.253     60
    -0.188    -0.344    -0.052     1.484     1.071     0.982    -0.034     1.343     1.085     0.474     0.584     0.624     0.863     0.592     0.634     0.874     0.984     0.005     0.000     0.000     0.000     0.011     1.000     1.356     61
     0.806    -0.344     0.981     1.484    -1.346    -0.954    -1.043    -0.669    -0.897    -0.563     0.482     0.348    -0.283     0.494     0.348    -0.278     0.000     0.984     0.013     0.002     0.000     0.000     2.000     1.042     62
     1.799     1.595     0.981     0.475    -0.138    -1.922    -2.053    -1.676    -0.897    -0.563    -0.220     0.560    -0.584    -0.281     0.578    -0.611     0.000     0.079     0.921     0.000     0.000     0.000     3.000     0.828     63
    -0.188    -0.344     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897    -0.563     0.101    -0.122    -0.456     0.494     0.348    -0.278     0.000     0.484     0.148     0.362     0.000     0.005     2.000     1.135     64
    -0.188     0.625    -0.052     0.475    -1.346    -1.922    -1.043    -0.669    -0.897    -0.563    -0.187     0.291    -0.576    -0.281     0.578    -0.611     0.000     0.118     0.721     0.160     0.000     0.001     3.000     1.672     65
     0.806    -0.344    -0.052     0.475     2.279    -0.954    -0.034     0.337    -0.897    -0.563     0.460     0.339    -0.273     0.494     0.348    -0.278     0.001     0.952     0.023     0.003     0.000     0.022     2.000     1.289     66
     0.806     0.625    -0.052     0.475     1.071    -1.922    -2.053    -1.676    -1.888    -1.601    -0.226     0.537    -0.588    -0.281     0.578    -0.611     0.000     0.071     0.914     0.015     0.000     0.000     3.000     1.797     67
    -0.188     0.625     2.013     1.484    -1.346     0.014     0.976     1.343     1.085     0.474     0.588     0.629     0.868     0.592     0.634     0.874     0.992     0.003     0.000     0.000     0.000     0.005     1.000     1.373     68
    -0.188     0.625    -0.052    -0.533    -0.138    -0.954    -0.034    -0.669    -0.897    -0.563    -0.266     0.318    -0.590    -0.281     0.578    -0.611     0.000     0.012     0.816     0.149     0.000     0.023     3.000     0.616     69
    -1.181     0.625    -0.052     1.484    -0.138     0.014     0.976     0.337    -0.897     0.474     0.410     0.310    -0.058     0.494     0.348    -0.278     0.116     0.739     0.000     0.001     0.000     0.144     2.000     2.046     70
     0.806     1.595     0.981     1.484    -0.138    -0.954    -0.034     0.337     0.094    -0.563     0.494     0.352    -0.262     0.494     0.348    -0.278     0.014     0.984     0.001     0.000     0.000     0.001     2.000     1.438     71
     0.806    -0.344    -0.052    -0.533    -1.346    -0.954    -1.043    -0.669    -0.897    -0.563    -0.277     0.414    -0.610    -0.281     0.578    -0.611     0.000     0.002     0.895     0.100     0.000     0.003     3.000     1.250     72
     1.799     1.595    -2.117    -1.542    -1.346     0.014    -0.034     0.337     0.094     0.474    -0.251     0.452    -0.222    -0.281     0.578    -0.611     0.000     0.000     0.676     0.000     0.098     0.226     3.000     0.917     73
