     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.600     0.629     0.895     0.600     0.629     0.895     0.000     1.000     0.000     0.000     0.000     0.000     0.000     2.000     2.240     45
     0.806    -0.344    -0.052    -0.533    -0.138     0.014     0.976     0.337     1.085     1.512    -0.180     0.474     0.590    -0.185     0.622     0.641     0.126     0.004     0.869     0.000     0.000     0.000     0.000     3.000     1.135     46
    -0.188     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     0.474     0.599     0.628     0.892     0.600     0.629     0.895     0.000     0.997     0.000     0.000     0.000     0.000     0.003     2.000     0.958     47
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     1.512     0.600     0.628     0.895     0.600     0.629     0.895     0.000     0.999     0.000     0.000     0.000     0.000     0.000     2.000     1.711     48
     0.806     0.625     0.981    -0.533    -0.138     0.014    -0.034     0.337     0.094     1.512    -0.174     0.516     0.582    -0.185     0.622     0.641     0.087     0.005     0.885     0.000     0.000     0.013     0.010     3.000     0.870     49
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     0.474     0.600     0.628     0.893     0.600     0.629     0.895     0.000     0.998     0.000     0.000     0.000     0.000     0.002     2.000     2.046     50
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085     1.512     0.600     0.628     0.894     0.600     0.629     0.895     0.000     0.999     0.000     0.000     0.000     0.000     0.001     2.000     1.290     51
     0.806     1.595    -0.052    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.274     0.520    -0.603    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.001     0.999     0.000     6.000     0.763     52
     1.799     1.595    -2.117    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.274     0.521    -0.603    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.000     1.000     0.000     6.000     1.135     53
     0.806    -0.344     0.981     1.484     2.279     0.982    -0.034     0.337     1.085     0.474     0.591     0.608     0.812     0.600     0.629     0.895     0.000     0.926     0.001     0.000     0.000     0.000     0.073     2.000     1.212     54
     0.806     0.625    -0.052     1.484     1.071     0.982    -0.034     1.343     0.094     1.512     0.597     0.628     0.891     0.600     0.629     0.895     0.000     0.993     0.004     0.000     0.000     0.000     0.003     2.000     1.290     55
    -0.188     0.625    -0.052     0.475     1.071     0.982     0.976     0.337     1.085     0.474     0.290     0.532     0.744     0.600     0.629     0.895     0.076     0.590     0.317     0.000     0.000     0.000     0.017     2.000     1.212     56
    -0.188    -0.344    -0.052     0.475    -0.138    -0.954    -0.034    -0.669     0.094    -0.563     0.142     0.002    -0.336     0.483     0.349    -0.244     0.112     0.000     0.001     0.000     0.194     0.162     0.531     7.000     0.853     57
     0.806     0.625    -0.052     1.484    -0.138     0.014    -0.034     0.337     0.094    -0.563     0.483     0.359    -0.200     0.483     0.349    -0.244     0.001     0.035     0.003     0.000     0.000     0.001     0.959     7.000     1.253     58
    -0.188     0.625     0.981     0.475     1.071     0.014    -0.034    -1.676     0.094    -0.563     0.420     0.346    -0.271     0.483     0.349    -0.244     0.004     0.000     0.000     0.000     0.008     0.071     0.916     7.000     0.616     59
     0.806     0.625    -0.052     0.475    -0.138    -1.922    -2.053    -1.676    -1.888    -1.601    -0.263     0.497    -0.599    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.014     0.972     0.014     6.000     1.253     60
    -0.188    -0.344    -0.052     1.484     1.071     0.982    -0.034     1.343     1.085     0.474     0.593     0.622     0.884     0.600     0.629     0.895     0.004     0.985     0.004     0.000     0.000     0.000     0.007     2.000     1.356     61
     0.806    -0.344     0.981     1.484    -1.346    -0.954    -1.043    -0.669    -0.897    -0.563     0.465     0.350    -0.252     0.483     0.349    -0.244     0.000     0.000     0.000     0.000     0.002     0.021     0.977     7.000     1.042     62
     1.799     1.595     0.981     0.475    -0.138    -1.922    -2.053    -1.676    -0.897    -0.563    -0.227     0.511    -0.580    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.000     0.938     0.061     6.000     0.828     63
    -0.188    -0.344     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897    -0.563     0.075    -0.101    -0.464     0.483     0.349    -0.244     0.008     0.000     0.000     0.000     0.338     0.201     0.453     7.000     1.135     64
    -0.188     0.625    -0.052     0.475    -1.346    -1.922    -1.043    -0.669    -0.897    -0.563    -0.202     0.313    -0.579    -0.274     0.521    -0.603     0.001     0.000     0.000     0.000     0.120     0.785     0.093     6.000     1.672     65
     0.806    -0.344    -0.052     0.475     2.279    -0.954    -0.034     0.337    -0.897    -0.563     0.456     0.345    -0.249     0.483     0.349    -0.244     0.008     0.000     0.001     0.000     0.001     0.027     0.963     7.000     1.289     66
     0.806     0.625    -0.052     0.475     1.071    -1.922    -2.053    -1.676    -1.888    -1.601    -0.241     0.492    -0.588    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.014     0.942     0.044     6.000     1.797     67
    -0.188     0.625     2.013     1.484    -1.346     0.014     0.976     1.343     1.085     0.474     0.594     0.626     0.888     0.600     0.629     0.895     0.001     0.989     0.006     0.000     0.000     0.000     0.004     2.000     1.373     68
    -0.188     0.625    -0.052    -0.533    -0.138    -0.954    -0.034    -0.669    -0.897    -0.563    -0.261     0.358    -0.594    -0.274     0.521    -0.603     0.015     0.000     0.000     0.000     0.092     0.880     0.013     6.000     0.616     69
    -1.181     0.625    -0.052     1.484    -0.138     0.014     0.976     0.337    -0.897     0.474     0.422     0.281    -0.103     0.483     0.349    -0.244     0.100     0.078     0.005     0.000     0.000     0.000     0.816     7.000     2.046     70
